id;assessmentDate;assessmentRound;assessedBy;approvedBy;documentationScreening;documentationPopulationReduction;documentationGeographicExtent;documentationPopulationSize;documentationQuantitativeAnalysis;scientificName;vernacularName;population;taxonID;scientificNameAuthorship;family;order;speciesGroup;redlistCategory;redlistCategoryCriteria;redlistCategoryUpDownListing;habitat.ecosystems;habitat.overallHabitatTypes;habitat.specificHabitatTypes;habitat.overallSubstrates;habitat.substrates;habitat.diets;habitat.dietsSpecies;habitat.dietsGenera;humidity.min;humidity.max;reaction.min;reaction.max;nutrient.min;nutrient.max;salinity.min;salinity.max;lightCondition.min;lightCondition.max;temperature.min;temperature.max;disturbance.min;disturbance.max;geography.extentOfOccurrence;geography.areaOfOccurrence;geography.numberOfLocations;geography.fragmented;reduction.amount;reduction.timespan;population.matureIndividuals;quantitativeAnalysis;additionalInformation.yearOfFirstRecord;additionalInformation.yearOfMostRecentRecord;additionalInformation.trend;extended.historicNumberOfLocalities;extended.historicTrendDescription;extended.native;extended.geographicExtentCrossesRegion;extended.threats;extended.overallThreats;extended.nationalDistribution;extended.totalDistribution;extended.commentsForUpdownListing;extended.commentsForNomenclature;extended.references;extended.commentsForAdditionalInformation;extended.additionalComments
8823;2018;2019;Peter Wind;Søren Grøntved;Navr er hjemmehørende i Danmark. I forhold til Ødum (1968) er navr blevet kraftigt spredt uden for artens naturlige udbredelsesområde p.gr.a. udplantning og efterfølgende selvsåning (Hartvig 2015). Navr er registreret i 1093 ruder i AFD (Hartvig 2015). Bestandsudvikling: I fremgang.;;;;;Acer campestre;Navr;National;;L.;Aceraceae;Sapindales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Increasing;;Bestandsudviklingen for navr er stabil. Artens udbredelsesmæssige nordgrænse går gennem Danmark (Hultén & Fries 1986).;;True;;;;;;;;;Navr er almindelig i de sydøstlige egne af Danmark. I Jylland er arten hjemmehørende indtil Århusegnen. Den optræder i skove, skovbryn samt levende hegn, ligesom den er plantet mange steder også uden for det naturlige udbredelsesområde og forvildet herfra.
8842;2018;2019;Peter Wind;Søren Grøntved;Spids-løn er hjemmehørende i Danmark. I forhold til Ødum (1968) er spidsbladet løn blevet kraftigt spredt uden for artens naturlige udbredelsesområde p.gr.a. udplantning og efterfølgende selvsåning i AFD (Hartvig 2015). Spids-løn er registreret i 943 ruder i AFD (Hartvig 2015). Bestandsudvikling: I fremgang.;;;;;Acer platanoides;Spids-løn;National;;L.;Aceraceae;Sapindales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Increasing;;;;True;;;;;;;;;Spids-løn forekommer i de fleste egne af Danmark.
8824;2018;2019;Peter Wind;Søren Grøntved;Ahorn anses i rødliste sammenhæng for at være hjemmehørende i Danmark. Ahorn er registreret i 1328 ruder i AFD (Hartvig 2015). Bestandsudvikling: I fremgang.;;;;;Acer pseudoplatanus;Ahorn;National;;L.;Aceraceae;Sapindales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Increasing;;Anhorns oprindelse og hjemmehørighed i Danmark har været omdiskutteret. Én opfattelse er, at ahorn blev indført i 1765 og siden har spredt sig. Én anden er, at arten er vildtvoksende i den sydligste del af landet: det østlige Sønderjylland, Als, Ærø og Sydfyn. Netop i disse dele af landet findes også mange stednavne, der starter med ær eksempelvis Ærø (Skov- og Naturstyrelsen 2008). Nordgrænsen for artens udbredelse går efter denne opfattelse gennem det sydlige Danmark.;;True;;;;;;;;;Ahorn eller ær er almindelig i de fleste egne af Danmark. Arten er blevet plantet i skove, hegn, parker og haver, hvorfra den spreder sig.
8844;2018;2019;Peter Wind;Søren Grøntved;Almindelig røllike er hjemmehørende i Danmark. Den er registreret i 1401 ruder i AFD (Hartvig 2015). Bestandsudvikling: I fremgang.;;;;;Achillea millefolium;Almindelig røllike;National;;L.;Asteraceae;Asterales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Increasing;;;;False;;;;;;;;;Almindelig røllike er almindelig i hele Danmark.
8834;2018;2019;Peter Wind;Søren Grøntved;Nyse-røllike er hjemmehørende i Danmark. I forhold til Pedersen (1961b) er nyse-røllike gået stærkt tilbage og mangler nu næsten i mange østlige og sydlige egne i AFD (Hartvig 2015). Den er registreret i 913 ruder i AFD (Hartvig 2015). Den har så mange bestande på landsplan, at en evt. mindre fremtidig tilbagegang ikke er en trussel for arten.;;;;;Achillea ptarmica;Nyse-røllike;National;;L.;Asteraceae;Asterales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;Nyse-røllike forekommer i de fleste egne af Danmark. Arten er især almindelig i Vestjylland.
8847;2018;2019;Peter Wind;Søren Grøntved;;;Beregningen af EOO og AOO er foretaget med IUCN programmet GeoCAT.;;;Actaea spicata;Druemunke;National;;L.;Ranunculaceae;Ranunculales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stable;;I forhold til Larsen (1956) er druemunke blevet noget sjældnere i AFD (Hartvig 2015). Arten vokser primært i naturskovsområder, hvorfor bestandsudviklingen anses for at være stabil.;;False;;;Druemunke er registreret i 192 ruder på 436 lokaliteter (Hartvig 2015).;Druemunke forekommer naturligt i det meste af Europa bortset fra de vestligste og nordøstligste dele (Hultén & Fries 1986).;;;Hartvig 2015, Hultén & Fries 1986, Larsen 1956;Druemunke forekommer i morænelersegnene i Østjylland og på Øerne (Larsen 1956).;
8860;2018;2019;Peter Wind;Søren Grøntved;Desmerurt er hjemmehørende i Danmark. I forhold til Hansen (1951) er udbredelsen af desmerurt i store træk den samme i AFD, men arten er blevet hyppigere i de kystnære områder i Østvendsyssel (Hartvig 2015). Den er registreret i 593 ruder i AFD (Hartvig 2015). Bestandsudvikling: I fremgang.;;;Bestandsudviklingen for desmerurt er i fremgang.;;Adoxa moschatellina;Desmerurt;National;;L.;Adoxaceae;Dipsacales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Increasing;;;;False;;;;;;;;;Desmerurt forekommer i de fleste egne af Danmark. Arten forekommer sparsomt i de vestlige egne af landet.
8858;2018;2019;Peter Wind;Søren Grøntved;Skvalderkål opfattes af nogle forfattere som muligvis hjemmehørende (Faurholdt & Schou 2012, Hartvig 2015). Arten er ganske almindelig og ikke i tilbagegang.;;;;;Aegopodium podagraria;Skvalderkål;National;;L.;Apiaceae;Araliales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Skvalderkål opfattes af nogle forfattere som hjemmehørende, hvorfor NV-grænsen for artens udbredelse ligger i Danmark (Jonsell & Karlsson 2010).;;;;;Skvalderkål er registreret i 1343 ruder i AFD (Hartvig 2015).;;;;;;Skvalderkål er naturaliseret især i skove og hegn samt omkring bebyggelse.
8866;2018;2019;Peter Wind;Søren Grøntved;Almindelig agermåne er hjemmehørende i Danmark. I forhold til Pedersen (1965) er udbredelsen af almindelig agermåne i store træk den samme i AFD (Hartvig 2015). Den er registreret i 760 ruder i AFD (Hartvig 2015). Bestandsudvikling: Stabil.;;;;;Agrimonia eupatoria;Almindelig agermåne;National;;L.;Rosaceae;Rosales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stable;;;;False;;;;;;;;;Almindelig agermåne forekommer i de fleste egne af Danmark bortset fra de centrale dele af Vendsyssel og Himmerland samt i Vest- og Sydvestjylland (Hartvig 2015).
8864;2018;2019;Peter Wind;Søren Grøntved;Vellugtende agermåne er hjemmehørende i Danmark. I forhold til Pedersen (1965) er der en tendens til, at vellugtende agermåne er blevet hyppigere i AFD, især i Sydøstjylland og Vestsjælland (Hartvig 2015). Vellugtende månerude er registreret i 133 ruder i AFD (Hartvig 2015). Bestandsudvikling: Stabil eller i fremgang.;;;;;Agrimonia procera;Vellugtende agermåne;National;;Wallr.;Rosaceae;Rosales;Karplanter;LC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Increasing;;;;False;;;;;;;;;Vellugtende agermåne forekommer spredt i Østjylland og på Øerne. Arten er tilsyneladende blevet mere hyppig i SØ-Jylland (Hartvig 2015).
