id	taxonID	scientificName	kingdom	family	taxonRank	language	license	rightsHolder	bibliographicCitation	datasetName
32	32	Asplenium septentrionale (L.) Hoffm.	Plantae	Aspleniaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
174	174	Carex pallescens L.	Plantae	Cyperaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
328	328	Crassula aquatica (L.) Schönland	Plantae	Crassulaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
640	640	Galium palustre L.	Plantae	Rubiaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
28	28	Hymenophyllum wilsonii Hook.	Plantae	Hymenophyllaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
6	6	Lycopodium clavatum L.	Plantae	Lycopodiaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
730	730	Melampyrum pratense L.	Plantae	Orobanchaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
393	393	Rosa dumalis Bechst.	Plantae	Rosaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
22	22	Botrychium lunaria var. melzeri Stensvold & Farrar	Plantae	Ophioglossaceae	varietas	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
23	23	Botrychium minganense Vict.	Plantae	Ophioglossaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
24	24	Botrychium nordicum Stensvold & Farrar	Plantae	Ophioglossaceae	species	en	https://creativecommons.org/licenses/by/4.0/	Icelandic Institute of Natural History	Wasowicz P, Heiðmarsson S (2020) A Vascular Plant Red List for Iceland. Acta Botanica Islandica, 16: 31-48. https://doi.org/10.5281/zenodo.2875162	A Vascular Plant Red List for Iceland 2018
